Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.9223790168762207,0.8715277910232544,0.18190212547779083,0.25995326042175293
2,0.9526209831237793,0.9409722089767456,0.12477130442857742,0.13089652359485626
3,0.9717742204666138,0.9548611044883728,0.07680479437112808,0.09257800132036209
4,0.9853830933570862,0.9618055820465088,0.04333369433879852,0.10838092118501663
5,0.9904233813285828,0.9583333134651184,0.03893617168068886,0.11518862843513489
6,0.9909273982048035,0.9791666865348816,0.03008303791284561,0.06379801779985428
7,0.9818548560142517,0.9270833134651184,0.05247078835964203,0.18696580827236176
8,0.992943525314331,0.96875,0.021261077374219894,0.1104608103632927
9,0.9989919066429138,0.9895833134651184,0.004833804443478584,0.043209705501794815
10,0.9994959831237793,0.9722222089767456,0.002543442649766803,0.13401202857494354
11,0.9969757795333862,0.9722222089767456,0.01130414754152298,0.08528771996498108
12,0.9984878897666931,0.9826388955116272,0.007297875825315714,0.08691201359033585
13,0.9994959831237793,0.96875,0.004608238115906715,0.11317822337150574
14,1.0,0.9791666865348816,0.0016629802994430065,0.10654489696025848
15,1.0,0.9826388955116272,0.0005413528415374458,0.10064620524644852
16,0.9994959831237793,0.9861111044883728,0.000781723007094115,0.03495311737060547
17,0.9959677457809448,0.9583333134651184,0.012024343013763428,0.16116483509540558
18,0.9884072542190552,0.9583333134651184,0.03394530341029167,0.19936394691467285
19,0.9989919066429138,0.9756944179534912,0.004788679536432028,0.06780685484409332
20,1.0,0.9895833134651184,0.0005347573314793408,0.0949569121003151
21,1.0,0.9826388955116272,0.0002680489851627499,0.06054206192493439
22,1.0,0.9756944179534912,0.0002627591311465949,0.05523177608847618
23,1.0,0.9861111044883728,0.00022460115724243224,0.04407789185643196
24,0.9994959831237793,0.9722222089767456,0.0004800249298568815,0.15621906518936157
25,1.0,0.9826388955116272,0.0008135796524584293,0.11403509229421616
26,1.0,0.9791666865348816,0.000112414090835955,0.08498703688383102
27,1.0,0.9826388955116272,8.639233419671655e-05,0.12410970777273178
28,1.0,0.9791666865348816,4.651964263757691e-05,0.16067904233932495
29,1.0,0.9861111044883728,6.535949796671048e-05,0.0401732362806797
30,1.0,0.9826388955116272,4.2337691411376e-05,0.1229989156126976
31,1.0,0.9791666865348816,3.047840073122643e-05,0.15457157790660858
32,1.0,0.9861111044883728,3.0114759283605963e-05,0.12752386927604675
33,1.0,0.9861111044883728,2.673393646546174e-05,0.15094953775405884
34,1.0,0.9791666865348816,2.3169555788626894e-05,0.1719314455986023
35,1.0,0.9791666865348816,2.2024223653716035e-05,0.1088247001171112
36,1.0,0.9826388955116272,2.0132989448029548e-05,0.12356925010681152
37,1.0,0.9826388955116272,1.8558333977125585e-05,0.13646835088729858
38,1.0,0.9861111044883728,1.716276165097952e-05,0.14013788104057312
39,1.0,0.9826388955116272,1.456801692256704e-05,0.15789462625980377
40,1.0,0.9791666865348816,1.2772442460118327e-05,0.1625128984451294
41,1.0,0.9791666865348816,1.2660488209803589e-05,0.07333531975746155
42,1.0,0.9756944179534912,1.2185420928290114e-05,0.08878567069768906
43,1.0,0.9791666865348816,1.1490764336485881e-05,0.14336654543876648
44,1.0,0.9756944179534912,1.0203038073086645e-05,0.17459256947040558
45,1.0,0.9861111044883728,9.66751940723043e-06,0.04941486194729805
46,1.0,0.9791666865348816,8.449893357465044e-06,0.17166833579540253
47,1.0,0.9722222089767456,8.063118002610281e-06,0.20690080523490906
48,1.0,0.9756944179534912,8.493585482938215e-06,0.18372410535812378
49,1.0,0.9861111044883728,7.138888122426579e-06,0.06702125817537308
50,1.0,0.9861111044883728,7.358720722550061e-06,0.036087676882743835
51,1.0,0.9791666865348816,6.714541086694226e-06,0.06635192036628723
52,1.0,0.9652777910232544,6.588941232621437e-06,0.22573015093803406
53,1.0,0.9756944179534912,5.883466656086966e-06,0.1963624358177185
54,1.0,0.9756944179534912,5.610155767499236e-06,0.10680492967367172
55,1.0,0.9826388955116272,5.4469551287184e-06,0.15470115840435028
56,1.0,0.9791666865348816,4.672599516197806e-06,0.1042853519320488
57,1.0,0.9826388955116272,4.428494776220759e-06,0.08251913636922836
58,1.0,0.9756944179534912,4.384847670735326e-06,0.12653228640556335
59,1.0,0.9826388955116272,3.7910028822807362e-06,0.13754723966121674
60,1.0,0.9861111044883728,3.6963624552299734e-06,0.13308961689472198
61,1.0,0.9826388955116272,3.557740910764551e-06,0.036805860698223114
62,1.0,0.9895833134651184,3.5899010981665924e-06,0.12562960386276245
63,1.0,0.9791666865348816,3.371803586560418e-06,0.1557222604751587
64,1.0,0.9861111044883728,3.0984533623268362e-06,0.14244593679904938
65,1.0,0.9861111044883728,3.193095380993327e-06,0.0399661585688591
66,1.0,0.9861111044883728,3.0203134429029888e-06,0.14902159571647644
67,1.0,0.9652777910232544,2.7190314995095832e-06,0.21589361131191254
68,1.0,0.9826388955116272,2.461045141899376e-06,0.17382864654064178
69,1.0,0.9791666865348816,2.5031181394297164e-06,0.07071920484304428
70,1.0,0.9722222089767456,2.1688367723982083e-06,0.1378713995218277
71,1.0,0.9722222089767456,2.298120307386853e-06,0.09735056757926941
72,1.0,0.9826388955116272,2.020923147938447e-06,0.1635681539773941
73,1.0,0.9791666865348816,2.0630850485758856e-06,0.16181936860084534
74,1.0,0.9861111044883728,1.8529520957599743e-06,0.12585455179214478
75,1.0,0.9826388955116272,1.826686798267474e-06,0.15358573198318481
76,1.0,0.9722222089767456,1.7536490304337349e-06,0.10689855366945267
77,1.0,0.9826388955116272,1.6301310097333044e-06,0.06880886107683182
78,1.0,0.9791666865348816,1.600457721906423e-06,0.10282358527183533
79,1.0,0.9861111044883728,1.4325128177006263e-06,0.15819287300109863
80,1.0,0.9861111044883728,1.4744008467459935e-06,0.04069174826145172
81,1.0,0.9722222089767456,1.4220541970644263e-06,0.1953868567943573
82,1.0,0.9861111044883728,1.36174128329003e-06,0.15784768760204315
83,1.0,0.9826388955116272,1.3823079143548966e-06,0.14437706768512726
84,1.0,0.9895833134651184,1.2934992810187396e-06,0.020873216912150383
85,1.0,0.9791666865348816,1.2325259604040184e-06,0.09282185137271881
86,1.0,0.9861111044883728,1.1224580021007569e-06,0.1548260599374771
87,1.0,0.9756944179534912,1.1075376278313342e-06,0.13158224523067474
88,1.0,0.9791666865348816,1.0949258921755245e-06,0.18662874400615692
89,1.0,0.9826388955116272,1.0037890660896664e-06,0.14788010716438293
90,1.0,0.9791666865348816,9.491263313066156e-07,0.16701458394527435
91,1.0,0.9861111044883728,9.294238907386898e-07,0.14048565924167633
92,1.0,0.9930555820465088,8.656004411022877e-07,0.01391693577170372
93,1.0,0.9826388955116272,8.804199751466513e-07,0.16630925238132477
94,1.0,0.9722222089767456,8.377366498280026e-07,0.19957275688648224
95,1.0,0.9895833134651184,7.775494736961264e-07,0.1347547471523285
96,1.0,0.9861111044883728,8.040192369662691e-07,0.06278206408023834
97,1.0,0.9826388955116272,7.119241445252555e-07,0.06414639204740524
98,1.0,0.9965277910232544,6.930033009666658e-07,0.009812641888856888
99,1.0,0.9756944179534912,6.919764814483642e-07,0.21538996696472168
100,1.0,0.9791666865348816,6.482949288511008e-07,0.1674772948026657
101,1.0,0.9826388955116272,6.505420060420875e-07,0.1816006749868393
102,1.0,0.9791666865348816,5.828007374475419e-07,0.18879099190235138
103,1.0,0.9895833134651184,5.473253850141191e-07,0.053055938333272934
104,1.0,0.9756944179534912,6.003909334140189e-07,0.19487722218036652
105,1.0,0.9826388955116272,5.484436655933678e-07,0.08488461375236511
106,1.0,0.9756944179534912,5.283808945932833e-07,0.12323199212551117
107,1.0,0.9756944179534912,5.205069442126842e-07,0.12668845057487488
108,1.0,0.9791666865348816,4.999666884941689e-07,0.07411076128482819
109,1.0,0.9756944179534912,4.904735533273197e-07,0.21602363884449005
110,1.0,0.9826388955116272,4.4661834408543655e-07,0.08701089024543762
111,1.0,0.9861111044883728,4.3341827904441743e-07,0.04927101731300354
112,1.0,0.9895833134651184,4.081742304151703e-07,0.05101647600531578
113,1.0,0.9895833134651184,4.235927235640702e-07,0.11762629449367523
114,1.0,0.9861111044883728,4.019376831365662e-07,0.08249940723180771
115,1.0,0.9895833134651184,3.7705370914409286e-07,0.1181769073009491
116,1.0,0.9826388955116272,3.6641910128309974e-07,0.09150532633066177
117,1.0,0.9826388955116272,3.518190681006672e-07,0.08961232006549835
118,1.0,0.9791666865348816,3.3320318948426575e-07,0.15068918466567993
119,1.0,0.9895833134651184,3.445382503741712e-07,0.04296859726309776
120,1.0,0.9756944179534912,3.1685604540143686e-07,0.20319610834121704
121,1.0,0.9861111044883728,2.850922555808211e-07,0.13912326097488403
122,1.0,0.9895833134651184,3.1130483080232807e-07,0.13360632956027985
123,1.0,0.9791666865348816,3.0982491239228693e-07,0.17469893395900726
124,1.0,0.9791666865348816,2.6787927254190436e-07,0.19619661569595337
125,1.0,0.9861111044883728,2.487861081590381e-07,0.059113357216119766
126,1.0,0.9826388955116272,2.542441848163435e-07,0.16699130833148956
127,1.0,0.9791666865348816,2.657310460563167e-07,0.1755620837211609
128,1.0,0.9861111044883728,2.2829668466783914e-07,0.06140920892357826
129,1.0,0.9791666865348816,2.2452792336480343e-07,0.17314311861991882
130,1.0,0.9791666865348816,2.1223110024948255e-07,0.19621440768241882
131,1.0,0.9722222089767456,2.1877976053019665e-07,0.20902059972286224
132,1.0,0.9722222089767456,1.9018894192868174e-07,0.22705994546413422
133,1.0,0.9861111044883728,1.9262100181549613e-07,0.14079052209854126
134,1.0,0.9756944179534912,1.8908896493030625e-07,0.11950507760047913
135,1.0,0.9861111044883728,1.7350582481867605e-07,0.14355604350566864
136,1.0,0.9791666865348816,1.8456880468420422e-07,0.17465907335281372
137,1.0,0.96875,1.762804657801098e-07,0.23708762228488922
138,1.0,0.9826388955116272,1.8993110018072912e-07,0.172325000166893
