Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.6922500133514404,0.8090277910232544,0.7835181951522827,0.5009457468986511
2,0.8485000133514404,0.8142361044883728,0.3972700834274292,0.4540179669857025
3,0.8942499756813049,0.9045138955116272,0.28966519236564636,0.2590102553367615
4,0.9290000200271606,0.9010416865348816,0.1981765329837799,0.2711358368396759
5,0.9524999856948853,0.921875,0.14036810398101807,0.23553994297981262
6,0.9672499895095825,0.9149305820465088,0.08482720702886581,0.26776033639907837
7,0.9835000038146973,0.9270833134651184,0.051978014409542084,0.2820463478565216
8,0.9877499938011169,0.9201388955116272,0.03997442126274109,0.34013426303863525
9,0.9904999732971191,0.953125,0.03003106452524662,0.2418212592601776
10,0.9877499938011169,0.9166666865348816,0.03814246878027916,0.33613717555999756
11,0.9897500276565552,0.9548611044883728,0.027771063148975372,0.1979837268590927
12,0.9977499842643738,0.9548611044883728,0.009009077213704586,0.29127174615859985
13,0.9952499866485596,0.9253472089767456,0.011716330423951149,0.36743053793907166
14,0.9904999732971191,0.953125,0.037045177072286606,0.2633925974369049
15,0.9982500076293945,0.9496527910232544,0.00991867296397686,0.31572043895721436
16,0.9987499713897705,0.9479166865348816,0.006564846727997065,0.3550483286380768
17,0.9994999766349792,0.9496527910232544,0.0023041730746626854,0.34048354625701904
18,0.9955000281333923,0.9600694179534912,0.019056590273976326,0.21697305142879486
19,0.9922500252723694,0.9427083134651184,0.024293288588523865,0.26653504371643066
20,0.9952499866485596,0.9583333134651184,0.012600445188581944,0.2299025058746338
21,0.9944999814033508,0.9392361044883728,0.016155272722244263,0.29360949993133545
22,0.9965000152587891,0.9548611044883728,0.012499015778303146,0.25753962993621826
23,0.999750018119812,0.953125,0.0010722955921664834,0.27743810415267944
24,0.9990000128746033,0.9618055820465088,0.0028996658511459827,0.25206366181373596
25,0.9909999966621399,0.953125,0.030169831588864326,0.24998098611831665
26,0.9957500100135803,0.9409722089767456,0.011286798864603043,0.2485404759645462
27,0.9980000257492065,0.9583333134651184,0.006139402277767658,0.2657293379306793
28,0.999750018119812,0.9565972089767456,0.0008424586849287152,0.33291423320770264
29,0.9994999766349792,0.9600694179534912,0.0013194965431466699,0.25045716762542725
30,0.9955000281333923,0.9496527910232544,0.013471651822328568,0.3451390862464905
31,0.9980000257492065,0.9670138955116272,0.004762246739119291,0.22142674028873444
32,1.0,0.9652777910232544,0.00019836077990476042,0.27381041646003723
