Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.8739919066429138,0.9270833134651184,0.36066338419914246,0.23966577649116516
2,0.9228830933570862,0.9479166865348816,0.18939299881458282,0.1402570605278015
3,0.9490927457809448,0.9479166865348816,0.12418060749769211,0.11523973941802979
4,0.96875,0.96875,0.07863124459981918,0.10099447518587112
5,0.9768145084381104,0.9895833134651184,0.058240197598934174,0.04268409311771393
6,0.9889112710952759,0.9722222089767456,0.03156226500868797,0.07681935280561447
7,0.9939516186714172,0.9826388955116272,0.02346741035580635,0.050512731075286865
8,0.9868951439857483,0.9652777910232544,0.03280806913971901,0.13217970728874207
9,0.9959677457809448,0.9826388955116272,0.01456128153949976,0.050975650548934937
10,0.9989919066429138,0.9826388955116272,0.006844596471637487,0.08013438433408737
11,0.9994959831237793,0.9895833134651184,0.002001142594963312,0.036668065935373306
12,1.0,0.9791666865348816,0.0015199597692117095,0.11719438433647156
13,0.9994959831237793,0.9791666865348816,0.003998833708465099,0.09427227079868317
14,0.9848790168762207,0.9652777910232544,0.03658031299710274,0.11471421271562576
15,0.9989919066429138,0.9861111044883728,0.010964404791593552,0.08001133799552917
16,0.9969757795333862,0.9791666865348816,0.01163356564939022,0.08190423250198364
17,1.0,0.9756944179534912,0.0012332146288827062,0.13239319622516632
18,1.0,0.9826388955116272,0.00035826052771881223,0.08811039477586746
19,0.9994959831237793,0.9826388955116272,0.0021777257788926363,0.10321911424398422
20,1.0,0.9756944179534912,0.0006709263543598354,0.14533737301826477
21,1.0,0.9756944179534912,0.00020155363017693162,0.0750565454363823
22,1.0,0.96875,8.621483721071854e-05,0.14456602931022644
23,0.9994959831237793,0.9826388955116272,0.006010836455971003,0.1369066834449768
24,0.9984878897666931,0.9861111044883728,0.0030222039204090834,0.050221893936395645
25,1.0,0.9756944179534912,0.00015288125723600388,0.09970525652170181
26,1.0,0.96875,7.804337656125426e-05,0.13717085123062134
27,1.0,0.9791666865348816,5.9487560065463185e-05,0.0829102173447609
28,1.0,0.9791666865348816,4.806426659342833e-05,0.08499699831008911
29,1.0,0.9791666865348816,3.7887741200393066e-05,0.12624973058700562
30,1.0,0.9826388955116272,3.273277616244741e-05,0.05780676379799843
31,1.0,0.9861111044883728,2.866530485334806e-05,0.044377390295267105
32,1.0,0.9756944179534912,2.0394347302499227e-05,0.0886881947517395
