Epochs,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.6440972089767456,0.7668269276618958,0.7563632726669312,0.5620766282081604
2,0.8253472447395325,0.875,0.43290001153945923,0.35178959369659424
3,0.8961805701255798,0.8870192170143127,0.26772934198379517,0.29433396458625793
4,0.9274305701255798,0.901442289352417,0.19292396306991577,0.24699504673480988
5,0.9583333134651184,0.942307710647583,0.12433982640504837,0.14101433753967285
6,0.9774305820465088,0.942307710647583,0.07306579500436783,0.20553478598594666
7,0.9756944179534912,0.9663461446762085,0.07198508083820343,0.11662440747022629
8,0.9888888597488403,0.9158653616905212,0.03662431985139847,0.3050849139690399
9,0.9916666746139526,0.9519230723381042,0.026994217187166214,0.19838568568229675
10,0.9927083253860474,0.9663461446762085,0.022453797981142998,0.1566382795572281
11,0.9979166388511658,0.9591346383094788,0.01154063455760479,0.13550357520580292
12,0.996874988079071,0.9711538553237915,0.013242825865745544,0.12553369998931885
13,0.9906250238418579,0.9519230723381042,0.029213353991508484,0.18433141708374023
14,0.9857639074325562,0.9711538553237915,0.038068465888500214,0.09622199833393097
15,0.996874988079071,0.963942289352417,0.010730288922786713,0.19400474429130554
16,0.9871527552604675,0.9471153616905212,0.03748985752463341,0.2094847857952118
17,0.9975694417953491,0.9302884340286255,0.011546185240149498,0.2992172837257385
18,0.9979166388511658,0.963942289352417,0.006594198755919933,0.13886955380439758
19,0.9979166388511658,0.96875,0.005263002123683691,0.17889171838760376
20,0.9996528029441833,0.973557710647583,0.0011410071747377515,0.16002224385738373
21,1.0,0.9591346383094788,0.0005658242153003812,0.12606239318847656
22,1.0,0.963942289352417,0.000154096182086505,0.20595400035381317
23,0.9996528029441833,0.9519230723381042,0.0006289297016337514,0.3432987332344055
24,0.9993055462837219,0.973557710647583,0.0012533062836155295,0.19153982400894165
25,0.9993055462837219,0.9663461446762085,0.0025397210847586393,0.18054254353046417
26,1.0,0.9663461446762085,0.0008662409381940961,0.22179538011550903
27,0.9989583492279053,0.96875,0.0019456545123830438,0.19914337992668152
28,1.0,0.9759615659713745,0.00034340680576860905,0.1750870645046234
29,1.0,0.9663461446762085,6.268640572670847e-05,0.23021259903907776
30,1.0,0.9663461446762085,5.338044502423145e-05,0.26120540499687195
31,1.0,0.973557710647583,3.795711018028669e-05,0.15065567195415497
32,1.0,0.96875,3.515890421112999e-05,0.18795980513095856
